courseID,courseTitle,courseLink
13455, Professional Experience: Classroom Management,https://handbook.uts.edu.au/subjects/details/013455.html
13456, Teaching EAL/D and Literacy in Primary Schools,https://handbook.uts.edu.au/subjects/details/013456.html
13457, Professional Experience: Teacher Performance Assessment,https://handbook.uts.edu.au/subjects/details/013457.html
13458, Mathematics for Numeracy Teachers,https://handbook.uts.edu.au/subjects/details/013458.html
13459, Mathematics for Numeracy Teachers,https://handbook.uts.edu.au/subjects/details/013459.html
13983, Learning Academic English,https://handbook.uts.edu.au/subjects/details/013983.html
13985, Understanding and Engaging Adolescent Learners,https://handbook.uts.edu.au/subjects/details/013985.html
13986, Literacy and Numeracy Across the Curriculum,https://handbook.uts.edu.au/subjects/details/013986.html
13987, Classroom Talk,https://handbook.uts.edu.au/subjects/details/013987.html
13988, Multiliteracies and Multimodalities,https://handbook.uts.edu.au/subjects/details/013988.html
13989, Teaching Academic English,https://handbook.uts.edu.au/subjects/details/013989.html
13990, Discourse and Genre,https://handbook.uts.edu.au/subjects/details/013990.html
13991, Research Literacies,https://handbook.uts.edu.au/subjects/details/013991.html
13992, Aboriginal Sydney Now,https://handbook.uts.edu.au/subjects/details/013992.html
13993, Aboriginal Sydney Now,https://handbook.uts.edu.au/subjects/details/013993.html
14126, Mentoring in the Workplace,https://handbook.uts.edu.au/subjects/details/014126.html
14162, Strategic Learning in Workplaces,https://handbook.uts.edu.au/subjects/details/014162.html
14220, Learning and its Trajectories,https://handbook.uts.edu.au/subjects/details/014220.html
14221, Learning in the Digital Age,https://handbook.uts.edu.au/subjects/details/014221.html
14222, Designing Innovative Learning,https://handbook.uts.edu.au/subjects/details/014222.html
14223, Professional Learning and Practice,https://handbook.uts.edu.au/subjects/details/014223.html
14225, Leading Learning,https://handbook.uts.edu.au/subjects/details/014225.html
14226, Leading Innovative Practices,https://handbook.uts.edu.au/subjects/details/014226.html
14227, Evaluating Learning and Innovation,https://handbook.uts.edu.au/subjects/details/014227.html
14228, Research Practices,https://handbook.uts.edu.au/subjects/details/014228.html
14229, Investigating Learning and Innovation Project,https://handbook.uts.edu.au/subjects/details/014229.html
16017, Thesis (Education),https://handbook.uts.edu.au/subjects/details/016017.html
16018, PhD Thesis: Education,https://handbook.uts.edu.au/subjects/details/016018.html
16102, Thesis (Education),https://handbook.uts.edu.au/subjects/details/016102.html
18700, Research Dissertation 3 (Education),https://handbook.uts.edu.au/subjects/details/018700.html
18701, Research Dissertation 4 (Education),https://handbook.uts.edu.au/subjects/details/018701.html
18723, Research Dissertation 1 (Education),https://handbook.uts.edu.au/subjects/details/018723.html
18724, Research Dissertation 2 (Education),https://handbook.uts.edu.au/subjects/details/018724.html
19950, EdD Thesis: Education,https://handbook.uts.edu.au/subjects/details/019950.html
19951, Thesis (Mathematics and Numeracy Education),https://handbook.uts.edu.au/subjects/details/019951.html
19952, Thesis (Special and Inclusive Education),https://handbook.uts.edu.au/subjects/details/019952.html
19953, Thesis (Critical Pedagogy and Social Change),https://handbook.uts.edu.au/subjects/details/019953.html
19981, Thesis (Doctor of Education),https://handbook.uts.edu.au/subjects/details/019981.html
19982, PhD Thesis: Education,https://handbook.uts.edu.au/subjects/details/019982.html
20212, Professional Experience for In-Service Teachers,https://handbook.uts.edu.au/subjects/details/020212.html
20213, Maths Methods for In-Service Teachers (Year 7-12),https://handbook.uts.edu.au/subjects/details/020213.html
21702, ICT in School Education: Current Issues and Applications,https://handbook.uts.edu.au/subjects/details/021702.html
22603, Teaching Across the Curriculum,https://handbook.uts.edu.au/subjects/details/022603.html
23821, Inclusive Education: Behaviour,https://handbook.uts.edu.au/subjects/details/023821.html
24411, Literary Narrative from Sendak to Shakespeare Education,https://handbook.uts.edu.au/subjects/details/024411.html
24412," English Study 2:  Images of Australia, the Place and the People - Literary Representations in Prose, Poetry and Drama",https://handbook.uts.edu.au/subjects/details/024412.html
24413, English Study 3: The Literature of Protest,https://handbook.uts.edu.au/subjects/details/024413.html
24421, Creative Arts 4: Drama,https://handbook.uts.edu.au/subjects/details/024421.html
24705, Multimodal Texts: Comprehending and Creating,https://handbook.uts.edu.au/subjects/details/024705.html
24713, Teaching English in International Contexts,https://handbook.uts.edu.au/subjects/details/024713.html
26412, Music Moves,https://handbook.uts.edu.au/subjects/details/026412.html
27412, Personal Development Health and Physical Education:  Teachers and Physical Activity,https://handbook.uts.edu.au/subjects/details/027412.html
28003, Children's Literature and Drama for Primary School,https://handbook.uts.edu.au/subjects/details/028003.html
28004, Ceramics and Claymation,https://handbook.uts.edu.au/subjects/details/028004.html
28213, Children's Literature for Primary School,https://handbook.uts.edu.au/subjects/details/028213.html
28214, Understanding and Using Student Data,https://handbook.uts.edu.au/subjects/details/028214.html
28215, English Education: Language in Use,https://handbook.uts.edu.au/subjects/details/028215.html
28216, Languages Education,https://handbook.uts.edu.au/subjects/details/028216.html
28225, Issues in Education: Local and Global Contexts,https://handbook.uts.edu.au/subjects/details/028225.html
28226, Beyond Culture: Diversity in Context,https://handbook.uts.edu.au/subjects/details/028226.html
28227, Learning and Development across the Lifespan,https://handbook.uts.edu.au/subjects/details/028227.html
28228, Digital Supported Learning,https://handbook.uts.edu.au/subjects/details/028228.html
28230, Professional Experience 1: Preparation for Teaching,https://handbook.uts.edu.au/subjects/details/028230.html
28231, Professional Experience 2: Introduction to Classroom Management,https://handbook.uts.edu.au/subjects/details/028231.html
28232, Professional Experience 3: Effective Teaching and Learning,https://handbook.uts.edu.au/subjects/details/028232.html
28233, Professional Experience 4: Building Classroom Management,https://handbook.uts.edu.au/subjects/details/028233.html
28234, Professional Experience 5: Teacher as Researcher,https://handbook.uts.edu.au/subjects/details/028234.html
28235, Professional Experience 6: Teaching Performance Assessment and Internship,https://handbook.uts.edu.au/subjects/details/028235.html
28236, Special Education: Inclusion,https://handbook.uts.edu.au/subjects/details/028236.html
28237, Issues in Indigenous Australian Education,https://handbook.uts.edu.au/subjects/details/028237.html
28238, Programming Assessment and Reporting in Primary Schools,https://handbook.uts.edu.au/subjects/details/028238.html
28239, Mathematics Education 1,https://handbook.uts.edu.au/subjects/details/028239.html
28240, Mathematics Education 2,https://handbook.uts.edu.au/subjects/details/028240.html
